"Feature","Data_Type","Category","Sub_Category","TCGA-23-1021","TCGA-23-1022","TCGA-23-1023","TCGA-23-1024","TCGA-23-1026","TCGA-23-1027","TCGA-23-1028","TCGA-23-1029","TCGA-23-1030","TCGA-23-1031","TCGA-23-1032","TCGA-23-1109","TCGA-23-1110","TCGA-23-1111","TCGA-23-1113","TCGA-23-1114","TCGA-23-1116","TCGA-23-1117","TCGA-23-1118","TCGA-23-1119","TCGA-23-1120","TCGA-23-1121","TCGA-23-1122","TCGA-23-1123","TCGA-23-1809","TCGA-23-2072","TCGA-23-2077","TCGA-23-2078","TCGA-23-2079","TCGA-23-2081","TCGA-23-2084","TCGA-23-2641","TCGA-23-2643","TCGA-23-2645","TCGA-23-2647","TCGA-23-2649","TCGA-25-1312","TCGA-25-1313","TCGA-25-1314","TCGA-25-1315","TCGA-25-1316","TCGA-25-1317","TCGA-25-1318","TCGA-25-1319","TCGA-25-1320","TCGA-25-1321","TCGA-25-1322","TCGA-25-1323","TCGA-25-1324","TCGA-25-1326","TCGA-25-1328","TCGA-25-1329","TCGA-25-1623","TCGA-25-1625","TCGA-25-1626","TCGA-25-1627","TCGA-25-1630","TCGA-25-1631","TCGA-25-1632","TCGA-25-1634","TCGA-25-1635","TCGA-25-1870","TCGA-25-1871","TCGA-25-1877","TCGA-25-1878","TCGA-25-2042","TCGA-25-2391","TCGA-25-2392","TCGA-25-2393","TCGA-25-2396","TCGA-25-2397","TCGA-25-2399","TCGA-25-2400","TCGA-25-2401","TCGA-25-2404","TCGA-25-2408","TCGA-25-2409","TCGA-3P-A9WA","TCGA-42-2582","TCGA-42-2587","TCGA-42-2588","TCGA-42-2589","TCGA-42-2590","TCGA-42-2591","TCGA-42-2593","TCGA-57-1582","TCGA-57-1583","TCGA-57-1585","TCGA-57-1586","TCGA-57-1992","TCGA-57-1993","TCGA-57-1994","TCGA-59-A5PD","TCGA-5X-AA5U","TCGA-OY-A56P","TCGA-OY-A56Q","TCGA-WR-A838"
"99thPercentile_NE_F39","num","Nuclear","Nuclear",0.09941344,0.09962292,0.09965979,0.09965844,0.09955132,0.0992383,0.10037769,0.0987005,0.09927738,0.09941891,0.09946421,0.10094998,0.09974198,0.0989305,0.09991872,0.09927957,0.09905764,0.0984615,0.09883155,0.09969636,0.0999118,0.0993887,0.0996566,0.09992844,0.09945046,0.09982567,0.09903778,0.09937573,0.10035537,0.09982106,0.09910389,0.09981212,0.09867865,0.09946714,0.09936031,0.0993512,0.09810124,0.10037581,0.10038257,0.10010363,0.10029728,0.10027695,0.10083828,0.09887812,0.10024133,0.10079558,0.09947855,0.10026847,0.10001438,0.09964964,0.09943076,0.09948532,0.09984544,0.09890976,0.09975835,0.0996998,0.09967592,0.09987127,0.09988512,0.10030557,0.10038115,0.09938586,0.09955784,0.09868557,0.09952964,0.09957191,0.09861013,0.0985583,0.09934287,0.09938212,0.09875847,0.09979455,0.09984277,0.10011488,0.09907123,0.0992593,0.09962635,0.09931452,0.0987715,0.09780094,0.09823564,0.09941305,0.09926179,0.09937303,0.09797177,0.10107499,0.10144161,0.10150095,0.10207482,0.10210018,0.10145477,0.09788715,0.09818602,0.09917438,0.0988329,0.09876006,0.09954536
"maximum_NE_F39","num","Nuclear","Nuclear",0.10395455,0.10412589,0.10290942,0.10302945,0.10398765,0.1025463,0.10341229,0.10316549,0.1039439,0.10275354,0.1030804,0.10487084,0.10323683,0.10303894,0.10418263,0.10290312,0.1033882,0.10256986,0.09961114,0.10623977,0.10348979,0.10376907,0.10282902,0.1044461,0.10341675,0.10320454,0.10285886,0.10371914,0.10425816,0.10378428,0.10267659,0.10326793,0.1035697,0.10227493,0.10283336,0.10296526,0.10402033,0.10348692,0.10395324,0.10398963,0.10382078,0.10427299,0.10513343,0.1023642,0.10477535,0.10399779,0.10344254,0.1042524,0.10444087,0.10277591,0.10128627,0.10336925,0.10343497,0.10288678,0.10479402,0.10513117,0.10321215,0.10234621,0.10274216,0.10479281,0.10301273,0.10302957,0.10303356,0.10224223,0.10267638,0.10398811,0.10293038,0.10296429,0.10322493,0.10296747,0.10301605,0.1038183,0.10299838,0.10317836,0.10389093,0.10188569,0.10272674,0.10319415,0.10335378,0.10275272,0.10242546,0.10271617,0.10409433,0.10225498,0.10186686,0.104457,0.10367779,0.10475088,0.10436166,0.10476318,0.10374963,0.10130896,0.10191642,0.10340157,0.10214099,0.10297552,0.1033921
"entropy_NE_F39","num","Nuclear","Nuclear",5.28933,5.508627,5.454073,5.321021,5.395991,5.279503,5.214877,5.079961,5.526269,5.33148,5.406486,5.666758,5.526099,5.258273,5.446088,5.374529,5.229495,5.434001,3.128195,5.425598,5.446173,4.289173,5.444208,5.518749,5.25803,5.485346,5.317969,5.484128,5.455599,5.358474,5.302094,5.367411,5.158609,5.275,5.252643,5.179236,5.105339,4.010467,5.10921,5.285225,5.572534,5.200714,4.456508,4.968641,5.281489,4.992162,4.955835,4.925436,5.255608,4.823738,4.529233,5.418625,5.106508,5.342277,5.321777,5.163184,5.090891,3.944289,5.456175,5.042893,5.368436,5.250862,5.292244,5.256256,5.157797,5.221753,5.198301,5.184966,4.994255,5.402096,5.342208,5.191821,5.265558,5.360358,5.369001,4.767462,5.153169,5.399114,5.507327,5.331941,5.251152,5.5371,5.42056,5.36386,5.47731,5.246289,5.071155,4.944789,5.095776,5.356844,4.886257,5.274581,5.440274,5.307499,5.197433,5.392597,5.458543
"minimum_NE_F40","num","Nuclear","Nuclear",11.79681,11.5,12.01224,12.11392,11.628,12.49342,12.14286,12.33453,11.82427,12.18103,12.44531,11.55061,12.03778,12.4251,11.8,11.85053,12.3,12.48,14.31325,11.06024,11.73568,12.69432,12.26408,11.74074,12.17647,12.22222,12.01271,12.09013,11.47773,12.06466,12.39521,12.23166,12.51852,12.28326,12.44828,11.89958,11.98707,12.4375,11.48936,12,11.63793,11.75745,11.48638,13.02929,11.6393,11.98868,12,11.35294,11.49174,12.59274,12.76569,12.06637,11.8319,12.13043,11.66087,11.65179,12.11688,13.05195,12.24224,11.84892,12.31579,12.07792,12.25182,12.52841,12.28,12.30992,12.55731,12.50613,12.29268,12.41379,12.10084,12.03797,12.53571,11.84615,12.54054,12.69038,12.18898,12.26524,12.25926,12.89189,12.49811,12.03448,11.74219,12.36748,12.78571,11.56271,11.71374,11.34643,11.64038,11.33333,11.76923,12.5203,12.31381,12.34177,12.3,12.16216,12.43777
"1thPercentile_NE_F40","num","Nuclear","Nuclear",14.39463,14.23256,14.1878,14.34936,14.26671,14.56236,13.76985,14.77272,14.50175,14.29792,14.37009,13.41445,14.15239,14.74399,14.07357,14.41173,14.66357,15.02464,14.75245,14.09876,14.02232,14.14878,14.18766,14.06539,14.2568,14.08209,14.65115,14.38655,13.7618,14.16308,14.62921,14.18433,14.80084,14.42616,14.36934,14.47683,15.4696,13.61739,13.70122,13.8995,13.72684,13.75596,13.58351,14.87928,13.70123,13.53817,14.30303,13.74016,13.88452,14.07316,14.37868,14.20637,14.04842,14.66044,14.11595,14.07403,14.13108,13.81338,13.95304,13.71429,13.78973,14.23474,14.17409,14.78194,14.21916,14.22928,15.03685,14.85621,14.30307,14.33579,14.73167,14.15795,13.97253,13.85231,14.5032,14.35989,14.04306,14.38801,14.87148,15.6,15.22,14.45783,14.51807,14.43396,15.53825,13.45888,13.15556,13.05299,12.88124,12.81811,13.27269,15.49139,15.17138,14.59345,14.7904,14.71628,14.35758
"5thPercentile_NE_F40","num","Nuclear","Nuclear",15.65366,15.36866,15.37675,15.49318,15.45043,15.95876,14.82108,16.24292,15.70837,15.45852,15.58432,14.35401,15.27642,16.18657,15.13895,15.72637,16.11019,16.4027,15.48009,15.36672,15.1194,15.48954,15.26727,15.10228,15.57962,15.23136,16.02906,15.66991,14.79093,15.34821,15.92091,15.22208,16.22506,15.7591,15.61629,15.83758,17.21592,14.59213,14.69276,14.86313,14.64207,14.91776,14.55102,16.23286,14.71427,14.4689,15.26246,14.82226,14.93072,15.17364,15.40544,15.38961,15.19814,15.89882,15.24525,15.22594,15.17075,14.96397,14.98852,14.76562,14.80072,15.5521,15.30819,16.14517,15.484,15.34761,16.28582,16.41929,15.48489,15.45377,15.93936,15.28888,15.03766,14.85559,15.78983,15.65114,15.15933,15.56672,16.20356,17.32996,16.77196,15.52358,15.81112,15.63158,17.14286,14.43039,14.1267,13.88294,13.72419,13.57505,14.0732,17.08107,16.44402,15.90626,16.05298,16.18056,15.53326
"10thPercentile_NE_F40","num","Nuclear","Nuclear",16.40892,16.03526,16.09148,16.21771,16.18853,16.7826,15.39416,17.06858,16.44325,16.13077,16.27941,14.92977,15.9581,16.99163,15.79822,16.52094,17.03304,17.22666,16.20703,16.06806,15.75786,16.21522,15.93067,15.68722,16.32209,15.93255,16.83045,16.39842,15.48771,16.09063,16.6771,15.9,17.03242,16.59869,16.34944,16.65,18.30713,15.24911,15.20444,15.44534,15.16644,15.63812,15.13587,17.23404,15.27584,15.02318,15.96885,15.41036,15.55361,15.82235,16.12255,16.15168,15.90491,16.68584,15.95558,15.865,15.78082,15.66418,15.57602,15.36363,15.37963,16.3007,16.00723,16.97965,16.14749,15.99097,17.04901,17.30598,16.14525,16.13437,16.63437,15.9614,15.66536,15.45363,16.51793,16.47739,15.77616,16.26923,17.02221,18.38332,17.7209,16.19122,16.51352,16.32363,18.2704,14.99356,14.62042,14.36623,14.20161,14.01494,14.59599,18.02903,17.23541,16.78326,16.85144,16.98221,16.24873
"25thPercentile_NE_F40","num","Nuclear","Nuclear",17.83178,17.22887,17.48777,17.54844,17.58209,18.32802,16.47855,18.56161,17.78502,17.3501,17.58578,16.04571,17.2216,18.50254,17.05731,18.05019,18.67019,18.77216,17.68139,17.3194,16.95868,17.6615,17.17585,16.80836,17.64844,17.31696,18.35079,17.75465,16.73766,17.55947,18.06518,17.21124,18.64286,18.14556,17.58592,18.26339,20.50697,16.23266,16.19162,16.48193,16.13611,16.98347,16.15985,19.09408,16.29671,16.04316,17.13023,16.54234,16.69231,16.92991,17.46818,17.70612,17.21198,18.19937,17.35185,17.03571,16.9873,17.03763,16.66466,16.55455,16.48148,17.69865,17.38688,18.78106,17.45696,17.12867,18.54178,19.21776,17.44834,17.35059,17.91133,17.26134,16.76919,16.59849,17.90231,18.12586,16.94667,17.59662,18.67857,20.45799,19.64193,17.45304,17.90071,17.67568,20.51151,16.01971,15.5166,15.23775,15.08866,14.78817,15.55604,20.03786,18.6516,18.44293,18.36986,18.35387,17.65125
"median_NE_F40","num","Nuclear","Nuclear",19.77323,18.85809,19.34598,19.42105,19.46605,20.40561,17.89831,20.66385,19.59375,18.98144,19.41903,17.56648,18.9219,20.64179,18.77092,20.20114,20.91734,20.84309,19.99,18.98724,18.52162,19.53499,18.73177,18.30582,19.47197,19.125,20.518,19.53488,18.43256,19.66909,19.83544,18.98961,20.66162,20.19328,19.21741,20.50661,23.76404,17.52632,17.40678,17.88908,17.30319,18.80077,17.39433,22.24084,17.66871,17.42431,18.72382,18.38028,18.36854,18.46983,19.41687,20.16754,19.1501,20.48618,19.34378,18.50291,18.6899,18.62732,18.03015,18,18.13891,19.65552,19.38462,21.62458,19.22799,18.66502,20.52518,22.06311,19.28085,18.98887,19.7628,19.22111,18.29635,18.27892,20.06024,20.80479,18.48527,19.41109,21.07431,23.41989,22.27778,19.26587,19.84759,19.76495,24.1976,17.4509,16.71245,16.3983,16.27397,15.77033,16.80795,23.01493,20.51927,20.90769,20.41529,20.17101,19.83069
"mean_NE_F40","num","Nuclear","Nuclear",24.32032,19.63613,20.09817,21.38876,20.84958,23.60351,18.49755,24.57076,20.59673,20.51577,22.00943,18.62097,20.34607,22.69221,21.25683,22.30807,24.75512,22.58347,21.4781,19.88654,19.79968,20.45208,20.19355,19.43365,20.81135,19.99639,22.16548,20.35527,19.39486,21.04192,20.83985,22.37944,22.983,23.39143,22.39752,28.25117,25.42677,18.58652,17.94853,18.87084,18.08489,19.64482,17.99935,25.87028,18.58937,17.98964,20.05785,19.69838,19.89237,19.63399,21.29642,22.41373,21.04802,22.81168,21.08177,19.30965,21.17186,22.12279,18.68975,18.98602,19.66661,23.72634,21.37269,24.87979,21.25638,20.95043,23.80684,24.43787,21.75621,20.70428,21.77406,24.6095,19.67436,20.10443,23.54831,23.06133,22.94057,20.53073,23.64021,26.33731,23.90226,20.48341,21.24907,21.12632,28.27516,18.08908,18.81439,18.86622,18.44806,16.31331,17.68527,26.13929,21.98263,22.64479,22.91398,20.85162,23.55399
"75thPercentile_NE_F40","num","Nuclear","Nuclear",22.8283,20.90027,21.69807,22.06549,22.04803,23.22678,19.62329,23.5948,21.92107,21.21429,22.19493,19.64169,21.29046,23.42367,21.23488,23.2386,24.0485,23.63497,22.97564,21.13061,20.50871,21.81161,20.88101,20.24242,21.86819,21.46508,23.85097,21.77956,20.5825,22.53484,22.20386,21.61653,23.45852,23.03381,21.63222,23.67724,28.28766,19.00834,18.8135,19.7113,18.80357,21.2449,19.10716,27.70385,19.41354,19.15348,20.93342,21.31132,21.19608,20.57723,22.51074,24.37312,22.3309,24.24419,22.55611,20.40931,21.66874,21.3458,19.74511,20.16138,20.72951,23.2005,22.87327,26.78207,21.90976,20.79091,23.19812,26.33406,22.51415,21.38821,22.8694,22.29984,20.54227,21.12153,24.08399,25.01232,20.83584,21.81633,24.7659,27.88196,25.99058,21.83913,22.61306,22.81672,30.27599,19.37411,18.28894,18.20558,17.95082,17.10906,18.45255,27.91085,22.95887,24.52049,23.54253,22.52318,23.41821
"90thPercentile_NE_F40","num","Nuclear","Nuclear",30.83074,23.48319,24.67937,25.8731,25.35986,27.48561,21.75,29.58944,24.90657,24.54946,27.5114,22.51619,24.87256,27.84556,25.582,28.03128,29.60643,27.7414,28.71464,24.04364,23.26444,24.87569,24.1754,22.98518,25.26706,24.43269,28.50358,24.6435,23.45477,26.53796,25.34845,27.62623,27.74979,27.69081,26.60897,29.79764,33.93053,21.0791,20.5666,22.27146,20.95502,24.36058,21.3653,35.80202,22.14666,21.375,24.21394,25.20149,25.66797,24.32845,27.8546,30.68979,27.79623,30.62996,27.62497,23.01902,28.38462,29.14263,21.99072,23.15416,24.7919,31.41371,28.49715,35.73938,26.17945,24.77115,27.73674,32.89799,29.07692,25.3439,28.43821,29.21636,24.21424,25.98298,32.34352,31.50255,26.64891,25.19187,30.43771,34.93551,31.21449,25.60831,26.73333,27.07996,40.12355,21.84401,20.69339,22.25062,20.64356,19.03955,20.58074,36.33871,26.61395,29.91408,28.80485,25.25851,29.94053
