Feature,Data_Type,Category,Sub_Category,TCGA-23-1021,TCGA-23-1022,TCGA-23-1023,TCGA-23-1024,TCGA-23-1026,TCGA-23-1027,TCGA-23-1028,TCGA-23-1029,TCGA-23-1030,TCGA-23-1031,TCGA-23-1032,TCGA-23-1107,TCGA-23-1109,TCGA-23-1110,TCGA-23-1111,TCGA-23-1113,TCGA-23-1114,TCGA-23-1116,TCGA-23-1117,TCGA-23-1118,TCGA-23-1119,TCGA-23-1120,TCGA-23-1121,TCGA-23-1122,TCGA-23-1123,TCGA-23-1809,TCGA-23-2072,TCGA-23-2077,TCGA-23-2078,TCGA-23-2079,TCGA-23-2081,TCGA-23-2084,TCGA-23-2641,TCGA-23-2643,TCGA-23-2645,TCGA-23-2647,TCGA-23-2649,TCGA-25-1312,TCGA-25-1313,TCGA-25-1314,TCGA-25-1315,TCGA-25-1316,TCGA-25-1317,TCGA-25-1318,TCGA-25-1319,TCGA-25-1320,TCGA-25-1321,TCGA-25-1322,TCGA-25-1323,TCGA-25-1324,TCGA-25-1325,TCGA-25-1326,TCGA-25-1328,TCGA-25-1329,TCGA-25-1623,TCGA-25-1625,TCGA-25-1626,TCGA-25-1627,TCGA-25-1630,TCGA-25-1631,TCGA-25-1632,TCGA-25-1634,TCGA-25-1635,TCGA-25-1870,TCGA-25-1871,TCGA-25-1877,TCGA-25-1878,TCGA-25-2042,TCGA-25-2390,TCGA-25-2391,TCGA-25-2392,TCGA-25-2393,TCGA-25-2396,TCGA-25-2397,TCGA-25-2399,TCGA-25-2400,TCGA-25-2401,TCGA-25-2404,TCGA-25-2408,TCGA-25-2409,TCGA-3P-A9WA,TCGA-42-2582,TCGA-42-2587,TCGA-42-2588,TCGA-42-2589,TCGA-42-2590,TCGA-42-2591,TCGA-42-2593,TCGA-57-1582,TCGA-57-1583,TCGA-57-1585,TCGA-57-1586,TCGA-57-1992,TCGA-57-1993,TCGA-57-1994,TCGA-59-A5PD,TCGA-5X-AA5U,TCGA-OY-A56P,TCGA-OY-A56Q,TCGA-WR-A838
29. ?Y-INT?for?D??,num,FracLac,FracLac,16.0468,14.7071,15.4079,15.8544,14.7501,15.2305,13.4212,15.5077,15.5032,15.2628,15.2651,15.5191,15.7972,16.1928,14.9911,14.3958,15.46,16.0929,16.4929,13.0164,16.0932,14.5877,10.7728,15.7951,15.9285,15.3009,15.7912,13.728,13.8366,15.7493,13.8254,14.263,16.1159,13.9378,15.4827,15.8104,14.9057,13.7477,14.8187,16.2056,15.5729,15.9826,14.6339,14.5434,15.2978,15.7292,15.1568,13.6924,15.22,15.6083,14.4183,13.5934,13.1288,14.6081,15.1354,15.0891,14.9463,14.8888,13.921,14.4336,15.4465,15.3999,14.2795,15.5571,15.5165,15.5226,15.9173,14.9778,13.7263,15.9766,15.3187,15.1179,15.7458,15.4337,15.1334,15.9782,14.943,13.9975,14.7505,16.0127,15.7764,14.0962,14.406,14.3331,13.7581,15.5204,14.9395,13.3101,11.5953,14.9366,13.0668,14.2837,15.0023,13.1048,13.2637,14.5924,14.6018,15.6686,15.7648,15.2056
87. LACUNARITY for Image (?) = ??????????????,num,FracLac,FracLac,0.3178,1.5582,0.8735,0.4903,1.8895,0.9845,1.4038,0.6043,1.177,0.4333,0.9361,1.3336,0.7487,0.4276,0.8442,1.6962,0.7223,0.457,0.3455,2.5029,0.4061,1.5417,8.3139,0.8037,0.8074,0.6858,0.6762,2.7457,2.2894,0.5815,2.4214,2.0298,0.6643,2.6575,0.86,0.4464,1.0493,4.5228,0.5122,0.2507,0.6816,0.5976,1.547,1.932,1.3678,0.6961,0.8287,2.5847,0.7225,0.6411,2.7043,1.6449,1.9657,3.4,1.5392,0.9059,0.879,0.5509,1.901,0.8476,0.9185,1.066,2.8527,0.3851,0.7673,0.8495,0.3378,0.6836,2.5771,0.8879,0.5887,1.1738,0.5798,0.8285,1.4578,0.3383,1.197,2.0714,1.1722,0.4134,0.8534,0.8011,0.4536,0.6648,0.8418,0.3976,0.6729,0.7905,0.4723,0.3486,0.7351,0.4798,0.7344,0.571,1.0837,1.9355,1.1958,0.5253,0.2857,0.7184
88. CV ?for??,num,FracLac,FracLac,0.0911,0.0352,0.0439,0.0648,0.0297,0.0423,0.0293,0.0575,0.0375,0.04,0.0126,0.0377,0.035,0.0668,0.0229,0.0472,0.0296,0.0831,0.1135,0.0352,0.1022,0.0207,0.0617,0.0374,0.0935,0.041,0.0347,0.0276,0.0458,0.0742,0.0335,0.0426,0.06,0.0346,0.0417,0.0631,0.047,0.0338,0.0455,0.102,0.0559,0.0553,0.0227,0.0382,0.0465,0.0612,0.0478,0.0411,0.0515,0.034,0.0293,0.0436,0.0264,0.0265,0.0262,0.0375,0.0222,0.0627,0.0497,0.0364,0.0348,0.0408,0.0376,0.0753,0.0565,0.0248,0.0861,0.0416,0.0259,0.0492,0.0514,0.0427,0.0584,0.0384,0.0412,0.0584,0.0301,0.0537,0.0283,0.049,0.0551,0.0312,0.0507,0.0697,0.0687,0.0464,0.0472,0.0836,0.0428,0.076,0.0352,0.0697,0.0397,0.0471,0.042,0.0254,0.052,0.0631,0.0408,0.0453
89. MIN ?for??,num,FracLac,FracLac,0.2767,1.4612,0.8141,0.4447,1.8054,0.9151,1.3237,0.5465,1.1127,0.4018,0.9228,1.2615,0.7067,0.3861,0.8081,1.5944,0.6821,0.3983,0.2798,2.3646,0.3471,1.5009,7.5353,0.762,0.688,0.6423,0.6472,2.6586,2.1293,0.5297,2.2974,1.8979,0.5991,2.5131,0.8063,0.3918,0.9594,4.2491,0.4717,0.2119,0.62,0.5478,1.501,1.8335,1.2528,0.6297,0.7729,2.4549,0.6541,0.6043,2.5469,1.4727,1.9083,3.2542,1.4841,0.8533,0.8498,0.4977,1.7573,0.7947,0.8666,1.0038,2.6541,0.3445,0.6948,0.8167,0.2963,0.6399,2.4767,0.8183,0.5398,1.0723,0.5258,0.7659,1.3516,0.3106,1.119,1.8817,1.1067,0.3855,0.7749,0.7671,0.4251,0.5885,0.7596,0.3685,0.629,0.6909,0.439,0.2952,0.6852,0.4221,0.6734,0.5399,1.0221,1.8449,1.0923,0.4848,0.2643,0.6655
90. MAX ?for??,num,FracLac,FracLac,0.3637,1.6249,0.9334,0.5334,1.9913,1.0449,1.4463,0.6585,1.2454,0.4652,0.9586,1.397,0.7829,0.4682,0.888,1.8407,0.7501,0.5119,0.4075,2.6856,0.4584,1.6086,9.1794,0.8593,0.9078,0.7302,0.7098,2.9114,2.5115,0.6372,2.5594,2.1883,0.7105,2.8638,0.9331,0.4907,1.1248,4.8036,0.5409,0.2997,0.736,0.6489,1.6253,2.0693,1.4609,0.7554,0.8913,2.7902,0.7758,0.6837,2.8148,1.7353,2.0847,3.5547,1.606,0.9589,0.9138,0.5974,2.1175,0.905,0.9575,1.1322,3.0125,0.4359,0.8312,0.8807,0.3859,0.7412,2.6967,0.9447,0.6388,1.2526,0.6334,0.8721,1.53,0.3669,1.2485,2.293,1.2196,0.4454,0.9122,0.8391,0.5111,0.7509,0.9411,0.4294,0.7376,0.8875,0.5044,0.3827,0.7686,0.5256,0.7633,0.6254,1.1444,2.0078,1.298,0.5848,0.3012,0.7752
93. ???=?MEAN ??????|???????=?REGRESSION LINE SLOPE for ln(??ø?+1)?vs?ln(ø),num,FracLac,FracLac,-0.0253,-0.0937,-0.065,-0.0245,-0.0917,-0.0371,-0.0708,-0.0367,-0.0749,-0.0184,-0.0722,-0.0661,-0.058,-0.033,-0.0555,-0.0969,-0.0282,-0.0176,-0.0268,-0.0482,-0.0163,-0.066,-0.1046,-0.0545,-0.0561,-0.0406,-0.0428,-0.0949,-0.0936,-0.0442,-0.0887,-0.0919,-0.0464,-0.15,-0.062,-0.0281,-0.071,-0.1524,-0.0131,-0.0278,-0.0442,-0.0416,-0.0764,-0.1178,-0.0658,-0.0414,-0.0488,-0.1091,-0.0403,-0.0452,-0.1373,-0.0638,-0.0568,-0.1268,-0.0832,-0.0482,-0.0373,-0.0317,-0.0664,-0.0382,-0.0674,-0.0598,-0.1261,-0.0291,-0.0418,-0.0477,-0.0168,-0.0281,-0.117,-0.0589,-0.0391,-0.0685,-0.0431,-0.0634,-0.077,-0.0204,-0.0665,-0.0939,-0.0456,-0.0276,-0.0635,-0.0703,-0.039,-0.0477,-0.0615,-0.032,-0.0548,-0.0704,-0.0455,-0.0299,-0.051,-0.0474,-0.05,-0.0295,-0.0849,-0.0938,-0.0875,-0.044,-0.0388,-0.0507
94. CV?for??????,num,FracLac,FracLac,-0.1803,-0.0403,-0.0632,-0.1644,-0.0475,-0.1303,-0.0458,-0.1228,-0.0492,-0.1618,-0.0203,-0.0569,-0.0444,-0.1075,-0.0353,-0.0577,-0.082,-0.2854,-0.2007,-0.0978,-0.3802,-0.04,-0.1092,-0.0561,-0.1261,-0.0736,-0.0591,-0.0489,-0.0732,-0.1189,-0.0431,-0.0733,-0.0939,-0.03,-0.0491,-0.129,-0.0671,-0.0341,-0.2668,-0.1443,-0.1031,-0.098,-0.0374,-0.0375,-0.0842,-0.1123,-0.0747,-0.0608,-0.111,-0.0504,-0.0262,-0.0936,-0.0562,-0.0339,-0.0371,-0.0712,-0.0574,-0.1243,-0.1083,-0.0843,-0.0494,-0.0786,-0.0462,-0.1608,-0.1113,-0.0538,-0.2772,-0.0881,-0.0279,-0.0769,-0.1099,-0.0574,-0.0944,-0.0516,-0.0584,-0.1443,-0.0511,-0.0731,-0.0719,-0.085,-0.0737,-0.0507,-0.0952,-0.1283,-0.0898,-0.0856,-0.071,-0.1107,-0.1036,-0.147,-0.0795,-0.1198,-0.0685,-0.1618,-0.0524,-0.0306,-0.0669,-0.0934,-0.0461,-0.0696
96. ???=???for???,num,FracLac,FracLac,0.8303,3.8857,1.8529,1.3466,4.0387,2.1758,4.0896,1.444,2.5009,1.7098,2.7377,2.7641,1.9327,1.2509,2.0973,4.7124,2.5537,1.149,0.9689,9.1963,1.0088,3.5959,43.1705,2.1842,1.4969,1.9271,1.8754,6.8114,7.3483,1.5035,6.6133,4.422,1.7496,8.0718,2.49,1.4316,2.8133,11.595,1.6912,0.9376,1.9147,1.3766,4.3012,5.7105,3.3986,1.6078,2.3918,8.5816,1.9143,1.9481,6.5899,4.7039,7.1361,7.3493,3.1182,2.116,2.5643,1.7031,5.6349,3.7809,2.513,2.2716,7.6059,0.9802,1.8649,2.6757,0.7944,2.3322,6.9716,1.8164,1.9014,3.0216,1.66,2.1804,3.3353,1.0482,2.7188,7.5699,2.7813,1.2267,2.5438,4.303,1.5481,4.8189,6.7331,1.8784,3.0739,13.2437,1.5534,0.9767,2.0872,1.3743,2.0233,2.339,3.9011,4.8367,3.154,2.1214,1.621,1.76
98. CV?for???,num,FracLac,FracLac,0.1213,0.0846,0.0895,0.1022,0.0739,0.0943,0.0818,0.113,0.0768,0.0853,0.0719,0.071,0.0815,0.0974,0.0735,0.0774,0.0761,0.1139,0.1042,0.065,0.1186,0.0692,0.0559,0.0727,0.0969,0.0834,0.0721,0.0819,0.0718,0.0943,0.08,0.0896,0.0755,0.0611,0.0776,0.1008,0.0879,0.0615,0.0714,0.1273,0.094,0.0998,0.0573,0.063,0.0683,0.0929,0.0898,0.0689,0.0857,0.0851,0.0549,0.0884,0.069,0.0585,0.0739,0.0852,0.0675,0.1073,0.0853,0.0772,0.0693,0.0891,0.0612,0.127,0.0853,0.0706,0.1336,0.0906,0.0609,0.0815,0.0864,0.0819,0.0932,0.0817,0.0801,0.1124,0.0625,0.0701,0.08,0.1158,0.0597,0.0625,0.0783,0.0689,0.0793,0.0537,0.0684,0.0453,0.0883,0.1063,0.0881,0.094,0.0994,0.0873,0.061,0.066,0.0743,0.075,0.0638,0.0925
"99. MEAN?D?????=?MEAN?(slope[ln? vs ln?]) - ((slope[ln??, vs ln?])/2)",num,FracLac,FracLac,1.9682,1.8142,1.9041,1.8363,1.7508,1.7803,1.6311,1.8593,1.8846,1.8102,1.8945,1.8287,1.9319,1.9414,1.868,1.7805,1.7586,1.855,1.9651,1.4362,1.8338,1.7187,1.0823,1.9037,1.9244,1.8186,1.8542,1.5879,1.6448,1.9368,1.6087,1.7503,1.913,1.7436,1.8783,1.8695,1.8352,1.575,1.6641,2.0538,1.874,1.9083,1.6851,1.7598,1.7635,1.8337,1.7778,1.5868,1.7809,1.8906,1.7721,1.6014,1.4976,1.7087,1.8192,1.8044,1.7596,1.7879,1.6119,1.6312,1.886,1.8246,1.6976,1.9324,1.8057,1.8258,1.9002,1.7557,1.6034,1.9084,1.88,1.8249,1.9188,1.9346,1.7895,1.9016,1.8334,1.6565,1.7218,1.9291,1.92,1.8594,1.922,1.8235,1.8217,1.9013,1.8989,1.8601,1.8772,1.9607,1.7728,1.9562,1.9044,1.7575,1.7981,1.7392,1.7975,1.9006,2.131,1.9083
116. C?V for Count?=??C (???)????????????,num,FracLac,FracLac,2.9793,2.9735,2.9714,2.9834,2.9674,2.9722,2.9155,2.9739,2.9838,2.9674,2.9785,2.9799,2.9867,2.9883,2.9576,2.9672,2.9813,2.9858,2.9909,2.8492,2.9865,2.9513,2.456,2.9858,2.9878,2.9747,2.985,2.9219,2.9405,2.9862,2.9395,2.9571,2.9878,2.9577,2.9838,2.9834,2.9728,2.9394,2.9349,2.9882,2.9812,2.9813,2.9664,2.976,2.9788,2.984,2.9744,2.9404,2.9686,2.9866,2.9765,2.9408,2.8668,2.9653,2.9639,2.9715,2.9595,2.9726,2.9397,2.9547,2.973,2.9761,2.9717,2.9737,2.9787,2.9766,2.9771,2.9691,2.9345,2.9849,2.9682,2.9762,2.9838,2.9729,2.9689,2.982,2.9596,2.9714,2.9413,2.9838,2.9867,2.8955,2.9375,2.9555,2.9774,2.9563,2.9601,2.9409,2.4496,2.9552,2.8186,2.9376,2.9758,2.84,2.9375,2.9636,2.9635,2.9826,2.966,2.978
117. C?V for Count?C?V?for??,num,FracLac,FracLac,0.9978,0.9941,0.995,0.997,0.9917,0.9936,0.9771,0.9952,0.9969,0.9938,0.9968,0.9957,0.9979,0.9985,0.9925,0.9925,0.9957,0.9978,0.9991,0.9542,0.9975,0.9876,0.8224,0.9977,0.9981,0.9944,0.9974,0.9775,0.9841,0.998,0.9827,0.9894,0.998,0.9905,0.9972,0.9973,0.9949,0.9822,0.9839,0.9995,0.997,0.9971,0.9915,0.9948,0.9949,0.9971,0.9943,0.984,0.9931,0.9979,0.9945,0.9839,0.9614,0.9908,0.9919,0.9944,0.9909,0.9943,0.9837,0.9874,0.9956,0.9949,0.9925,0.9971,0.9955,0.9952,0.997,0.9931,0.9825,0.9973,0.9954,0.9952,0.9976,0.9956,0.9929,0.9977,0.9922,0.9928,0.9856,0.998,0.9979,0.9843,0.9935,0.9924,0.9961,0.9952,0.994,0.9913,0.9553,0.9954,0.9676,0.994,0.9958,0.9725,0.9886,0.9907,0.993,0.9976,0.9983,0.9967
118. MEAN FOREGROUND PIXELS,num,FracLac,FracLac,10377138,3606140,6597112,7194688,3593769,4400225,1110621,5930829,7504164,4296872,5681593,6672251,9605874,13109951,3811377,2819369,5998369,8669285,16628484,433289,10046167,2971156,84689,9448090,10432571,5427859,8282106,1185440,1419566,9086400,1333734,2128353,12896525,2082548,6887396,8464978,4412145,1737220,2933493,12732104,6539559,10176976,3342876,3774677,6132005,8144922,4505898,1496831,4563781,8203556,3724751,1119131,595223,3273593,4836401,3984835,3701527,3607611,1467904,2234573,6774707,5742969,2903346,6282769,6265502,7087552,8193787,3665537,1381530,11284784,5164081,4587921,8734674,6671751,4732928,8983245,3953879,1860659,2484985,9804165,9727565,1822222,2139833,2137060,1819682,6669800,3908072,1081810,125190,3567479,600528,1860460,4572934,527724,1009149,3105621,2988436,7977940,9178436,5181167
120. TOTAL PIXELS,num,FracLac,FracLac,26213226,31009464,31052790,37499648,38039232,31872000,18904408,28860750,39670464,28063104,33012924,44013738,41036943,41878830,20706840,31088148,53706901,37362688,43838340,28473984,44155170,35144607,31044196,45741636,36434925,36814848,45752256,30065256,31617135,33291300,32803629,22512416,53435400,32606550,38153472,38231460,32747733,57660603,33795300,29122770,34200700,38062800,51048102,51196772,57322685,44802640,42167580,42218799,36362852,39852267,46325292,25594944,24256365,50340560,34915752,25802190,33896247,25545214,37627800,50522377,41331864,37122050,52346160,21332052,39978426,51963814,24776976,34737800,34282397,49696290,29696892,34649792,35840800,31218552,43617440,31186372,25535692,39679488,28733700,33275307,54399233,17947512,7686380,24326730,23503296,30303344,26052888,24217558,567810,14564253,6086658,6738116,24068912,5226539,10235126,38893166,24899004,42442892,26737780,24591240
126. Mean Maximum ø,num,FracLac,FracLac,951,1180,965,1305,1296,1221,880,1037,1412,951,1058,1371,1351,1342,795,1116,1459,1309,1423,964,1446,1057,972,1364,1422,1249,1353,1093,1044,1291,1188,1084,1440,956,1288,1211,1051,1333,867,1123,1144,1140,1253,1228,1460,1359,1195,1049,1104,1384,1378,1083,848,1390,1040,1064,991,1131,1059,1310,956,1215,1472,857,1277,1174,960,1116,989,1387,852,1166,1182,940,1151,1083,870,1350,890,1128,1370,445,526,745,1078,640,746,606,138,632,359,518,1038,384,660,1232,901,1124,652,1058
