Feature,Data_Type,Category,Sub_Category,TCGA-23-1021,TCGA-23-1022,TCGA-23-1023,TCGA-23-1024,TCGA-23-1026,TCGA-23-1027,TCGA-23-1028,TCGA-23-1029,TCGA-23-1030,TCGA-23-1031,TCGA-23-1032,TCGA-23-1107,TCGA-23-1109,TCGA-23-1110,TCGA-23-1111,TCGA-23-1113,TCGA-23-1114,TCGA-23-1116,TCGA-23-1117,TCGA-23-1118,TCGA-23-1119,TCGA-23-1120,TCGA-23-1121,TCGA-23-1122,TCGA-23-1123,TCGA-23-1809,TCGA-23-2072,TCGA-23-2077,TCGA-23-2078,TCGA-23-2079,TCGA-23-2081,TCGA-23-2084,TCGA-23-2641,TCGA-23-2643,TCGA-23-2645,TCGA-23-2647,TCGA-23-2649,TCGA-25-1312,TCGA-25-1313,TCGA-25-1314,TCGA-25-1315,TCGA-25-1316,TCGA-25-1317,TCGA-25-1318,TCGA-25-1319,TCGA-25-1320,TCGA-25-1321,TCGA-25-1322,TCGA-25-1323,TCGA-25-1324,TCGA-25-1325,TCGA-25-1326,TCGA-25-1328,TCGA-25-1329,TCGA-25-1623,TCGA-25-1625,TCGA-25-1626,TCGA-25-1627,TCGA-25-1630,TCGA-25-1631,TCGA-25-1632,TCGA-25-1634,TCGA-25-1635,TCGA-25-1870,TCGA-25-1871,TCGA-25-1877,TCGA-25-1878,TCGA-25-2042,TCGA-25-2390,TCGA-25-2391,TCGA-25-2392,TCGA-25-2393,TCGA-25-2396,TCGA-25-2397,TCGA-25-2399,TCGA-25-2400,TCGA-25-2401,TCGA-25-2404,TCGA-25-2408,TCGA-25-2409,TCGA-3P-A9WA,TCGA-42-2582,TCGA-42-2587,TCGA-42-2588,TCGA-42-2589,TCGA-42-2590,TCGA-42-2591,TCGA-42-2593,TCGA-57-1582,TCGA-57-1583,TCGA-57-1585,TCGA-57-1586,TCGA-57-1992,TCGA-57-1993,TCGA-57-1994,TCGA-59-A5PD,TCGA-5X-AA5U,TCGA-OY-A56P,TCGA-OY-A56Q,TCGA-WR-A838
18. STANDARD DEVIATION (?) for D?for?D?,num,FracLac,FracLac,0.0081,0.0083,0.0073,0.0081,0.0085,0.0099,0.0053,0.0088,0.0091,0.005,0.0025,0.0084,0.0056,0.0073,0.0051,0.0094,0.0051,0.0091,0.0106,0.0041,0.012,0.0066,0.0108,0.0052,0.0144,0.0052,0.0047,0.0085,0.0063,0.0091,0.0063,0.0082,0.0082,0.0076,0.0046,0.0072,0.0081,0.0039,0.0097,0.0095,0.0078,0.0079,0.007,0.007,0.0064,0.0085,0.0083,0.0056,0.008,0.0055,0.0057,0.0087,0.0074,0.0072,0.0071,0.0076,0.0035,0.0105,0.0043,0.0043,0.0064,0.0108,0.009,0.0087,0.0103,0.0058,0.0096,0.0066,0.0044,0.0079,0.007,0.0065,0.0075,0.006,0.0087,0.0059,0.0065,0.0074,0.0051,0.0058,0.0075,0.0063,0.0065,0.0105,0.0104,0.0066,0.0076,0.0123,0.0106,0.009,0.0076,0.0124,0.0076,0.0104,0.0107,0.004,0.0104,0.0075,0.0036,0.0073
19. MIN for D?for?D?,num,FracLac,FracLac,1.8434,1.6453,1.7247,1.7676,1.6021,1.6929,1.4959,1.7502,1.7052,1.7499,1.7383,1.6964,1.7666,1.8123,1.7313,1.6061,1.685,1.8003,1.8376,1.3807,1.7673,1.5876,0.9955,1.7521,1.7625,1.7002,1.7474,1.4725,1.5225,1.7749,1.4967,1.6044,1.7659,1.5538,1.7352,1.7732,1.6786,1.4214,1.6143,1.8792,1.7586,1.7809,1.5632,1.5865,1.6358,1.7248,1.674,1.4618,1.6821,1.7468,1.5608,1.5005,1.4188,1.5512,1.6669,1.7009,1.6677,1.6917,1.5144,1.5493,1.7286,1.6969,1.5243,1.8145,1.7007,1.7015,1.8203,1.6774,1.483,1.7462,1.7641,1.6958,1.7755,1.7576,1.6557,1.8175,1.6933,1.5429,1.6455,1.8223,1.7504,1.6941,1.7867,1.6979,1.6379,1.7848,1.7425,1.6505,1.7333,1.8243,1.6502,1.7957,1.7352,1.675,1.6144,1.5961,1.6461,1.7665,1.865,1.7559
20. MAX for D?for?D?,num,FracLac,FracLac,1.8665,1.6687,1.7491,1.7895,1.6238,1.7172,1.5143,1.7793,1.7341,1.7667,1.746,1.7184,1.7833,1.8309,1.7483,1.6347,1.6996,1.8235,1.8714,1.3943,1.7989,1.6096,1.0297,1.77,1.8015,1.7165,1.7621,1.5011,1.5437,1.8023,1.5165,1.6293,1.7874,1.5816,1.7489,1.7974,1.7016,1.4324,1.6432,1.9087,1.782,1.8021,1.5839,1.6075,1.6541,1.7491,1.6977,1.4789,1.7074,1.7641,1.5799,1.5289,1.4397,1.5749,1.6873,1.7264,1.6793,1.7193,1.5304,1.565,1.749,1.7255,1.5539,1.8381,1.7274,1.7189,1.8507,1.7,1.4974,1.7678,1.7878,1.7203,1.7975,1.7779,1.683,1.8368,1.7122,1.5668,1.6601,1.8397,1.7708,1.715,1.8115,1.7346,1.6727,1.8059,1.7678,1.691,1.767,1.8515,1.6732,1.8322,1.76,1.7051,1.6517,1.6073,1.6769,1.7881,1.8774,1.778
21. ?D (D with highest r²)?for?D?,num,FracLac,FracLac,1.8665,1.6669,1.746,1.7895,1.6049,1.6938,1.4959,1.7686,1.7332,1.7637,1.7429,1.6986,1.7833,1.8309,1.7483,1.6347,1.6989,1.8224,1.8714,1.3809,1.7781,1.5876,0.9955,1.77,1.8015,1.7002,1.7595,1.4725,1.5282,1.8023,1.499,1.6044,1.7844,1.5816,1.7478,1.7974,1.7016,1.4217,1.6143,1.9087,1.782,1.8021,1.5694,1.6075,1.6539,1.7448,1.6977,1.4789,1.6887,1.7628,1.5745,1.5092,1.4193,1.5595,1.6746,1.7174,1.6709,1.6948,1.5144,1.5493,1.749,1.7076,1.5539,1.8367,1.7274,1.7177,1.8356,1.6774,1.4974,1.7661,1.7878,1.7203,1.7975,1.7779,1.676,1.8359,1.7086,1.5668,1.6462,1.8397,1.7694,1.715,1.8115,1.7346,1.6726,1.8037,1.7676,1.6808,1.7435,1.8456,1.6626,1.8322,1.76,1.7027,1.6517,1.6,1.6758,1.7856,1.8707,1.7765
22. ?r²?for?D?,num,FracLac,FracLac,0.9999,0.9997,0.9999,0.9999,0.9999,0.9997,0.9996,0.9999,0.9999,0.9998,0.9991,1,0.9996,0.9997,1,0.9997,0.9999,0.9999,0.9998,0.9952,0.9999,0.9998,0.9875,0.9997,0.9998,0.9998,0.9998,0.999,0.9999,0.9997,0.9992,0.9999,0.9998,0.9976,0.9995,0.9999,0.9993,0.9999,0.9994,0.9996,0.9998,1,0.9995,0.9964,0.9999,0.9999,0.9999,0.9991,0.9999,0.9993,0.9973,0.9999,0.9989,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9992,0.9995,1,0.9994,0.9999,1,0.9999,1,0.9999,0.9997,1,0.9999,0.9999,0.9997,0.9998,0.9999,0.9999,0.9999,0.9986,0.9993,0.9998,0.9995,0.9995,0.9995,0.9995,0.9943,0.9991,0.9996,0.9966,0.9996,0.9999,0.9999,0.9998,0.9998,0.9999,0.9985,0.9999,0.999,0.999,0.9991,0.9998
23. ?SE?for?D?,num,FracLac,FracLac,0.0242,0.0496,0.0325,0.0307,0.0271,0.0508,0.0453,0.0253,0.0357,0.0413,0.0877,0.0168,0.0629,0.0556,0.0159,0.0492,0.0285,0.0237,0.0513,0.157,0.0253,0.0416,0.1845,0.0503,0.0447,0.0387,0.0476,0.0774,0.0231,0.0517,0.0719,0.0328,0.041,0.1267,0.0693,0.032,0.0754,0.0293,0.0653,0.0639,0.0449,0.0185,0.0595,0.1669,0.0286,0.0361,0.0229,0.0726,0.0277,0.0837,0.1427,0.0266,0.0755,0.0208,0.0201,0.0321,0.0326,0.0259,0.0274,0.0743,0.0636,0.0111,0.0654,0.0266,0.0184,0.0276,0.0203,0.024,0.0405,0.0171,0.0233,0.0354,0.0564,0.0374,0.024,0.0289,0.0209,0.1041,0.0716,0.0399,0.0684,0.0528,0.0584,0.0604,0.2119,0.0833,0.0539,0.1471,0.0347,0.0311,0.018,0.0348,0.0401,0.0224,0.0983,0.0267,0.0874,0.0934,0.0833,0.0401
24. ?Y-INT?for?D?,num,FracLac,FracLac,16.3541,14.7666,15.7046,15.6509,14.4912,14.7779,13.0856,15.4522,15.471,15.441,15.6843,15.3364,15.9795,16.4402,15.2664,14.6388,15.5427,15.8336,16.6651,12.0692,15.7318,14.4226,9.3874,16.0729,15.7816,15.1554,15.8536,13.1446,13.8285,15.8366,13.3551,13.8374,16.4408,14.626,15.7222,16.0323,15.2185,13.6452,14.6091,16.5219,15.7343,16.2201,14.6383,15.102,15.3894,15.647,15.1905,13.9294,15.0755,15.7743,14.6807,13.0169,12.5917,14.4822,15.1914,14.8625,15.0383,14.4913,13.6382,14.1918,16.1436,15.2364,14.4641,15.6711,15.4377,16.0337,15.8753,14.8683,13.682,16.1062,15.8478,15.2429,16.0523,16.004,15.2507,16.1197,15.1814,14.1753,14.4766,16.2431,16.2552,15.7159,14.8452,15.6435,14.8633,16.9581,16.0278,15.8751,11.6058,15.0951,13.0833,14.441,15.0969,13.2158,13.5945,14.5295,14.8721,16.3164,17.3425,15.1557
26. ?D (D with highest r²)?for?D??,num,FracLac,FracLac,1.8536,1.6578,1.7384,1.7767,1.6108,1.702,1.5026,1.7634,1.721,1.7567,1.7419,1.7056,1.7737,1.8193,1.7381,1.6175,1.6906,1.8121,1.8521,1.3861,1.7818,1.5986,1.0132,1.7601,1.778,1.7072,1.7539,1.4883,1.5349,1.7876,1.5042,1.6147,1.7736,1.568,1.7415,1.7817,1.686,1.4277,1.6247,1.8916,1.7699,1.7912,1.5715,1.5973,1.6428,1.7338,1.6833,1.4688,1.6924,1.7556,1.5698,1.5112,1.4292,1.5639,1.6775,1.7124,1.6717,1.7011,1.5221,1.5557,1.7365,1.7089,1.5354,1.8265,1.7132,1.7103,1.8361,1.6861,1.4902,1.755,1.7748,1.7049,1.7834,1.7659,1.6659,1.8279,1.7013,1.5512,1.6511,1.8314,1.7591,1.7042,1.8015,1.7159,1.6546,1.794,1.7578,1.6706,1.75,1.8342,1.6626,1.8134,1.7455,1.6898,1.6268,1.6019,1.6618,1.7796,1.8691,1.7661
27. ?r²?for?D??,num,FracLac,FracLac,0.9998,0.9996,0.9998,0.9998,0.9998,0.9996,0.9996,0.9999,0.9997,0.9998,0.9989,1,0.9994,0.9994,0.9999,0.9994,0.9999,0.9999,0.9994,0.995,0.9999,0.9995,0.9826,0.9996,0.9996,0.9998,0.9996,0.9985,0.9999,0.9995,0.9991,0.9999,0.9996,0.9971,0.9993,0.9997,0.9988,0.9997,0.9992,0.999,0.9996,0.9998,0.9995,0.9957,0.9999,0.9997,0.9998,0.9987,0.9999,0.999,0.9969,0.9998,0.9985,0.9999,0.9999,0.9998,0.9999,0.9999,0.9999,0.9991,0.9993,1,0.999,0.9997,1,0.9998,1,0.9999,0.9997,0.9999,0.9997,0.9996,0.9993,0.9997,1,0.9998,0.9999,0.9975,0.9992,0.9997,0.9993,0.9992,0.9993,0.999,0.993,0.9987,0.9994,0.9951,0.9996,0.9997,0.9999,0.9995,0.9996,0.9999,0.9969,0.9999,0.9986,0.9987,0.9989,0.9997
28. ?SE?for?D??,num,FracLac,FracLac,0.0404,0.0588,0.0379,0.0397,0.0418,0.0579,0.0489,0.0248,0.0492,0.0423,0.097,0.0161,0.0781,0.0773,0.0203,0.0694,0.0261,0.0281,0.0791,0.1619,0.0238,0.0576,0.2219,0.0622,0.0612,0.0457,0.0609,0.0963,0.0301,0.0724,0.0771,0.033,0.0644,0.1392,0.0795,0.0562,0.0976,0.0458,0.0743,0.0987,0.058,0.0375,0.059,0.1801,0.0338,0.0541,0.0386,0.0874,0.0225,0.0976,0.1523,0.0334,0.0893,0.0255,0.0239,0.0357,0.0329,0.035,0.0293,0.0808,0.0763,0.0172,0.086,0.047,0.0181,0.0458,0.0169,0.027,0.045,0.0298,0.0492,0.0553,0.0832,0.0517,0.0152,0.0458,0.0239,0.1355,0.0777,0.049,0.0843,0.0701,0.0675,0.087,0.2336,0.098,0.0678,0.1753,0.0366,0.0454,0.0168,0.0619,0.0602,0.0205,0.1381,0.031,0.1017,0.1073,0.0934,0.0526
